units_sold,badges_count,shipping_option_price,inventory_total,has_urgency_banner,merchant_info_subtitle,product_id,uses_ad_boosts
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(568 notes)',5e9ae51d43d6a96e303acdb0,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(40,943 notes)',5a4f2d8f5dcd0221008b2c36,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (18,138 notes)',5e5e09065b03ef0b420f333f,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (7,034 notes)',5cc0049aca0c3b3d01a87964,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (51,369 notes)',5c9d920da94960780239d468,0
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (44,837 notes)',5c9ee457c233fd74ef4c8a84,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (3,460 notes)',5dc4488112f5e91a9d4bb52e,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (223,392 notes)',5b582d5ec4561c4f6b53feeb,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(10,600 derece)',5cae1d6c836ecb39e57e9e80,0
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(13,946 notes)',5b10cf0b7cc4492c87411045,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (47,981 notes)',5eb4dcebdaa4b90940076979,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (80,093 notes)',5c80e8a150c63d28c67b8f14,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (16,741 notes)',5e7adc5458a95b3323a3c6eb,1
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (12,913 notes)',5d2fd5a9af7a0c5b21369a05,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (59,198 notes)',556fbe8595528719e004fa27,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(397 notes)',5ea69521f5e1e65a3c70faa8,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87\% Positives Feedback (196 Bewertungen)',5ea7e2d999ecf941204c42ee,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','93 \% avis positifs (10,917 notes)',5e702eb03aa1f42076ffabc9,0
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (27,055 notes)',57d3bc906cfeb9135f44ded5,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (40,943 notes)',5c136c3cb870cf4e458afee4,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (31 notes)',5e9a74e447f7d92c8db8d14b,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (9,136 notes)',5af6bc9c13927d50370db58a,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(10,474 notes)',5d1573a55a16864c5de706ab,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(139,607 notes)',5c9212fc8de79667e3c7ca59,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (3,120 notes)',5ea2877224b9643185e52b58,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (10,377 notes)',5d806ae97c339c307264cf76,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (8,197 notes)',5ee717cbcb636e7b8b597fc3,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (703 notes)',5ebb9faea86f7a4d86e2f6fb,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87\% retroalimentación positiva (16,013 calificaciones)',5ceb62be9795ee4693f2cd00,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(13,309 notes)',5af519e189a29b15fca1b13b,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','81 \% avis positifs (91,631 notes)',5e81acbde187530740f207c6,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (20,681 notes)',5c879aba202e6b38cd317164,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','79 \% avis positifs (127 notes)',5ed1b644b1e34008ce012d4b,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (11,597 notes)',5d52b1d7314eb61030644375,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','94 \% avis positifs (34 notes)',5ebff6d34a4cf4438dba5d80,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (9 notes)',5eba6ecb9a9e129fb97b5dfd,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (14,482 notes)',5ebf5819ebac372b070b0e70,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(6,187 notes)',5d04e3db2ec1245228829a64,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(61,895 notes)',5aec22cec25735338c544690,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (224 notes)',5ec5cf37cd3da70de19c3f18,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (11,900 notes)',5d034039c822d263d90f58d4,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (4,856 notes)',5e940265ea3640c9ca0353aa,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (66,644 notes)',5c9ca27e5aee12258c2f341c,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(21,012 notes)',5d29bc2ed35393550e31d6f3,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (50,593 notes)',5e86c211d22ae539102d25c7,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (55,670 notes)',5d2407e66e8e037b4dd9fad3,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82 \% avis positifs (8,821 notes)',5b0386696040cc41f2331c83,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (225,438 notes)',5d5d038d99df1e17cc9313cf,1
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (1,496 notes)',5ed0dfc51fa8446451b19c0d,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (8,397 notes)',5eb0f23c904507255ca6530c,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','81 \% avis positifs (2,055 notes)',5e4267d60640954a435e64f5,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (9,200 notes)',5b29e5b5080ea2661b2287f6,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (7,076 notes)',5eafcf8a1f07813cd5404b52,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89\% opinii pozytywnych (liczba ocen: 126,370)',5c91e1ecb14bfa747e277427,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (1,322 notes)',5ccd341e8cc067595fcba7c4,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(8,996 notes)',5ec773b5967eb036b2c2e668,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(2,366 notes)',5de079e771151e6e9e85ee05,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(2,776 notes)',5e97e0c7cb3cec329c7b4e98,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (126,370 notes)',5ad987d8918dae087d633040,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (4,178 notes)',5cc67417a01bbd6b6c066df2,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (2,248 notes)',5d0b4268d5c8e1784b6e23b4,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90\% opinii pozytywnych (liczba ocen: 6,555)',5c061cf358603c4b35a19363,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(1,288 notes)',5e5f5289a950c34147f0d94b,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (12,974 notes)',5cf5e44b3c8b9e101a5db52c,1
'\'(2.456275-4.618199]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (5,846 notes)',5d78eb19cc404c03393c83b5,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','91 \% avis positifs (225,438 notes)',5d5d038d99df1e17cc9313cf,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (330,405 notes)',544b079d1280fa28eee9b380,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (15,748 notes)',5b35cab04f75026255f2364a,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (32,168 notes)',5ebe0ead593b960eb1c82d0b,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (7,248 notes)',5e958754a9136f26ddb12929,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (54 notes)',5eb8b430e015797901090ac0,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (1,559 notes)',5e7f13c2bd7ab15d52e9b5f9,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (5,083 notes)',5d1db3c0e2b5cc0f74e091af,0
'\'(2.456275-4.618199]\'','\'(1.014053-inf)\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (9,541 notes)',5e9d55038d475a01721c1c7f,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','78 \% avis positifs (288 notes)',5eaa6d9c8d99eb3ec06709f4,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (54,504 notes)',5a5db5398988991d7f7aec44,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(67 notes)',5e9fff5de4df1d32ef2ca70c,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(99,283 notes)',5a4b9eba2b0a1c3062666033,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(239 notes)',5e1bd924d7be4445acfa8c6d,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(40,616 notes)',5c5fc9a63af7386b63c00d25,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (670 notes)',5e6bbe2bb683599ccbb78637,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(4,610 notes)',5b1f9afe694fab75ca9fa8ea,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (247 notes)',5e9915ef9fae4f26f32f15df,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (13,946 notes)',5c78151c27202a28a75752b7,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82 \% avis positifs (26,473 notes)',5e743eded2656b046017c719,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82 \% avis positifs (32,858 notes)',5acb7ae3a69e662bb0133546,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (295 notes)',5eb90ab5ad67f63678d15ed9,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (10,799 notes)',5e9d3df803ee35376979fe40,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(8,989 notes)',5dd00194ea9f8e175c5561a9,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (238 notes)',5eb8a1d594d1e31702a4ef7c,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','97 \% avis positifs (160 notes)',5ec118ec7b4679d720f8de1d,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (546 notes)',5ddf65d292bf935981e0eaa7,1
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (12,881 notes)',5780938ff1ab1f1146be7dd1,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (9,078 notes)',5e3fa5ca9c4021248d4e1c37,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (57 notes)',5edb2db0fcc85c2e12014395,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(9,703 notes)',5edf1267c771c4255ceee25d,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (25,222 notes)',5eb4dd169263020a42be1a88,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (6,715 notes)',5d93f4284385140973836ddf,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83\% ردود �?عل إيجابية (3,237 تصني�?ات)',5e74326f3ae3412b2f7d9f42,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (17,244 notes)',5eb8d93dbd495919c2a0feb6,0
